carat,cut,color,clarity,depth,table,x,y,z,price,volume
0.3,Ideal,E,SI1,62.1,58.0,4.27,4.29,2.66,499,48.72667799999999
0.33,Premium,G,IF,60.8,58.0,4.42,4.46,2.7,984,53.225640000000006
0.9,Very Good,E,VVS2,62.2,60.0,6.04,6.12,3.78,6289,139.726944
0.42,Ideal,F,VS1,61.6,56.0,4.82,4.8,2.96,1082,68.48255999999999
0.31,Ideal,F,VVS1,60.4,59.0,4.35,4.43,2.65,779,51.066824999999994
1.02,Ideal,D,VS2,61.5,56.0,6.46,6.49,3.99,9502,167.28234600000002
1.01,Good,H,SI1,63.7,60.0,6.35,6.3,4.03,4836,161.22015
0.5,Premium,E,SI1,61.5,62.0,5.09,5.06,3.12,1415,80.356848
1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,5407,189.79833599999998
0.35,Ideal,F,VS2,60.5,57.0,4.52,4.6,2.76,706,57.38591999999999
0.32,Ideal,E,VS2,61.6,56.0,4.4,4.43,2.72,637,53.018240000000006
1.1,Premium,D,SI1,60.7,55.0,6.74,6.71,4.08,6468,184.519632
0.5,Good,E,VS1,61.1,58.2,5.08,5.12,3.11,1932,80.88985600000001
0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54,2767,117.04089599999999
1.5,Fair,G,VS2,66.2,53.0,7.12,7.08,4.7,10644,236.92512000000002
0.31,Ideal,G,VS2,61.6,55.0,4.37,4.39,2.7,544,51.797610000000006
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,650,57.425903999999996
1.01,Ideal,D,VS2,59.8,56.0,6.52,6.49,3.89,7127,164.604572
0.9,Good,D,SI1,61.9,64.0,6.0,6.09,3.74,3567,136.6596
0.54,Premium,G,VS2,60.0,59.0,5.42,5.22,3.19,1637,90.25275599999999
1.04,Premium,D,VVS2,61.1,60.0,6.54,6.51,3.99,10984,169.87584600000002
0.4,Ideal,F,VS2,62.9,57.0,4.72,4.69,2.96,1080,65.524928
1.52,Ideal,D,SI2,62.7,56.0,7.35,7.28,4.59,8631,245.60172
1.19,Ideal,J,SI2,61.7,56.0,6.8,6.85,4.21,4508,196.1018
0.66,Ideal,H,SI1,62.4,58.0,5.53,5.56,3.46,1609,106.383928
1.5,Premium,H,SI2,61.4,62.0,7.4,7.25,4.49,7187,240.88850000000005
0.34,Ideal,D,SI1,61.8,57.0,4.5,4.44,2.74,803,54.745200000000004
0.52,Ideal,E,VS2,61.5,56.0,5.18,5.2,3.19,1576,85.92584
0.31,Ideal,H,SI1,61.9,56.0,4.38,4.35,2.7,595,51.443099999999994
0.71,Good,F,SI2,64.0,58.0,5.65,5.59,3.6,1818,113.70060000000001
1.19,Ideal,G,SI1,62.3,55.0,6.76,6.81,4.23,6335,194.730588
0.72,Very Good,J,VVS2,63.0,59.0,5.7,5.72,3.6,2144,117.3744
0.3,Ideal,H,SI1,62.4,55.0,4.3,4.32,2.69,450,49.96944
