Feature,Importance
numerical__volume,0.6547530985788745
numerical__y,0.12183527406733323
numerical__carat,0.11754365658125329
categorical__clarity_SI2,0.019540390188668363
categorical__clarity_I1,0.013294178094164371
categorical__clarity_SI1,0.013152547085064373
categorical__color_J,0.009970268712198402
categorical__color_I,0.007845381401370569
categorical__clarity_VS2,0.006392632979867013
categorical__color_H,0.00513855830899807
categorical__clarity_VS1,0.005110547604990685
numerical__x,0.005028021781458781
numerical__z,0.0033238249492530602
numerical__depth,0.00282831392998991
categorical__color_D,0.002748194254233713
categorical__color_G,0.0021476162383985637
numerical__table,0.0020191730100834193
categorical__color_E,0.0016244585353495473
categorical__clarity_VVS2,0.0013705217061743288
categorical__color_F,0.0013239739598929795
categorical__cut_Ideal,0.0007960399256111501
categorical__clarity_IF,0.0007036262511258261
categorical__clarity_VVS1,0.0005097194574419558
categorical__cut_Premium,0.00038800896238774975
categorical__cut_Very Good,0.0002827204236472775
categorical__cut_Good,0.00016654478548854134
categorical__cut_Fair,0.00016270822668038216
